match_id,date,home_team,away_team,city,stage,model_home_prob,model_draw_prob,model_away_prob,market_home_prob,market_draw_prob,market_away_prob,model_pick,best_value,best_edge,signal,weak_schedule_match,stake,side_bet,entry_price,actual_outcome,model_pick_hit,best_value_hit,pnl,clv
30,2026-06-19 18:00:00-04,Scotland,Morocco,Boston,Group Stage,13.25%,26.31%,60.44%,22.77%,28.71%,48.51%,Morocco,Morocco,11.92%,STRONG PLAY,FLAG,,,,,,,,
31,2026-06-19 21:00:00-04,Brazil,Haiti,Philadelphia,Group Stage,66.15%,19.47%,14.38%,89.22%,5.88%,4.90%,Brazil,Draw,13.59%,REVIEW,,,,,,,,,
32,2026-06-20 00:00:00-07,Turkey,Paraguay,San Francisco Bay Area,Group Stage,51.31%,28.05%,20.64%,43.14%,29.41%,27.45%,Turkey,Turkey,8.17%,PLAY,,,,,,,,,
33,2026-06-20 13:00:00-05,Netherlands,Sweden,Houston,Group Stage,67.93%,24.51%,7.56%,58.42%,23.76%,17.82%,Netherlands,Netherlands,9.51%,PLAY,,,,,,,,,
34,2026-06-20 16:00:00-04,Germany,Côte d'Ivoire,Toronto,Group Stage,65.95%,24.90%,9.15%,62.38%,21.78%,15.84%,Germany,Germany,3.57%,WATCH,FLAG,,,,,,,,
35,2026-06-20 20:00:00-05,Ecuador,South Africa,Kansas City,Group Stage,52.45%,24.30%,23.25%,80.20%,12.87%,6.93%,Ecuador,South Africa,16.32%,REVIEW,FLAG,,,,,,,,
36,2026-06-21 00:00:00-06,Tunisia,Japan,Monterrey,Group Stage,11.56%,25.89%,62.55%,18.00%,27.00%,55.00%,Japan,Japan,7.55%,PLAY,,,,,,,,,
37,2026-06-21 12:00:00-04,Spain,Saudi Arabia,Atlanta,Group Stage,78.01%,19.20%,2.79%,87.25%,8.82%,3.92%,Spain,Draw,10.38%,REVIEW,FLAG,,,,,,,,
38,2026-06-21 15:00:00-07,Belgium,IR Iran,Los Angeles,Group Stage,61.61%,27.75%,10.64%,69.00%,19.00%,12.00%,Belgium,Draw,8.75%,PLAY,FLAG,,,,,,,,
39,2026-06-21 18:00:00-04,Uruguay,Cabo Verde,Miami,Group Stage,62.48%,23.76%,13.76%,67.33%,20.79%,11.88%,Uruguay,Draw,2.97%,PASS,FLAG,,,,,,,,
