match_id,match_number,home_team,away_team,city,stage,home_team_elo,away_team_elo,elo_diff,home_gd_last5,away_gd_last5,gd_last5_diff,home_xg_diff,away_xg_diff,xg_diff_diff,home_form_pts,away_form_pts,form_diff,raw_score,home_strength,draw_prob,home_win_prob,away_win_prob,pick,market_home,market_draw,market_away,edge_home,edge_draw,edge_away,best_edge,best_value,signal,review_flag
20,20,Austria,Jordan,San Francisco Bay Area,Group Stage,78.6,69.5,9.1,1,0,1,0.83,-0.02,0.85,10,12,-2,0.8335,0.70,27.27%,50.70%,22.03%,Austria,0.7254901961,0.1666666667,0.1078431373,-21.85%,10.60%,11.25%,11.25%,Jordan,PLAY,
21,21,Portugal,DR Congo,Houston,Group Stage,89.4,70.8,18.6,3,0,3,1.95,0.39,1.56,10,10,0,2.112,0.89,24.42%,67.42%,8.16%,Portugal,0.78,0.16,0.06,-10.58%,8.42%,2.16%,8.42%,Draw,PLAY,
22,22,England,Croatia,Dallas,Group Stage,93.1,84.9,8.2,2,1.5,0.5,1.95,1.78,0.17,15,13,2,0.7865,0.69,27.54%,49.79%,22.67%,England,0.5544554455,0.2475247525,0.198019802,-5.66%,2.79%,2.87%,2.87%,Croatia,PASS,
23,23,Ghana,Panama,Toronto,Group Stage,62.9,71.4,-8.5,-0.5,2,-2.5,0.72,0.73,-0.01,10,11,-1,-0.9685,0.28,27.45%,19.96%,52.59%,Panama,0.4607843137,0.2745098039,0.2647058824,-26.11%,0.00%,26.12%,26.12%,Panama,STRONG PLAY,CHECK INPUTS
24,24,Uzbekistan,Colombia,Mexico City,Group Stage,73.1,90.7,-17.6,1,3,-2,0.69,0.42,0.27,11,9,2,-1.1015,0.25,24.72%,18.78%,56.50%,Colombia,0.1089108911,0.198019802,0.6930693069,7.89%,4.92%,-12.81%,7.89%,Uzbekistan,WATCH,
25,25,Czechia,South Africa,Atlanta,Group Stage,73,66.1,6.9,0,0,0,0.73,0.87,-0.14,6,9,-3,0.125,0.53,27.93%,38.28%,33.79%,Czechia,0.4901960784,0.2843137255,0.2254901961,-10.74%,-0.50%,11.24%,11.24%,South Africa,PLAY,
26,26,Switzerland,Bosnia and Herzegovina,Los Angeles,Group Stage,83.8,62.9,20.9,1.5,0,1.5,0.7,0.52,0.18,11,7,4,1.862,0.87,23.73%,66.01%,10.26%,Switzerland,0.59,0.24,0.17,7.01%,-0.27%,-6.74%,7.01%,Switzerland,WATCH,
27,27,Canada,Qatar,Vancouver,Group Stage,74.7,62,12.7,1,-1.5,2.5,0.58,-0.44,1.02,9,5,4,1.814,0.86,26.19%,63.47%,10.34%,Canada,0.7352941176,0.1764705882,0.08823529412,-10.06%,8.54%,1.52%,8.54%,Draw,PLAY,
28,28,Mexico,South Korea,Guadalajara,Group Stage,81,76.4,4.6,1,3,-2,0.88,1.17,-0.29,13,9,4,0.1945,0.55,28.62%,39.15%,32.23%,Mexico,0.5339805825,0.2621359223,0.2038834951,-14.25%,2.41%,11.84%,11.84%,South Korea,PLAY,
29,29,USA,Australia,Seattle,Group Stage,78.1,78.2,-0.1,0,2.5,-2.5,0.46,-0.18,0.64,10,15,-5,-0.557,0.36,29.97%,25.51%,44.52%,Australia,0.5544554455,0.2376237624,0.2079207921,-29.94%,6.21%,23.73%,23.73%,Australia,STRONG PLAY,CHECK INPUTS
30,30,Scotland,Morocco,Boston,Group Stage,73,85.3,-12.3,0.5,1.5,-1,-0.34,1.23,-1.57,12,13,-1,-1.5175,0.18,26.31%,13.25%,60.44%,Morocco,0.2277227723,0.2871287129,0.4851485149,-9.52%,-2.40%,11.92%,11.92%,Morocco,PLAY,
31,31,Brazil,Haiti,Philadelphia,Group Stage,92.2,57.1,35.1,-1,1.5,-2.5,0.33,0.23,0.1,7,10,-3,1.526,0.82,19.47%,66.15%,14.38%,Brazil,0.8921568627,0.05882352941,0.04901960784,-23.07%,13.59%,9.48%,13.59%,Draw,STRONG PLAY,
32,32,Turkey,Paraguay,San Francisco Bay Area,Group Stage,81.8,75.3,6.5,1,0.5,0.5,0.11,-0.02,0.13,13,8,5,0.9105,0.71,28.05%,51.31%,20.64%,Turkey,0.431372549,0.2941176471,0.2745098039,8.17%,-1.36%,-6.81%,8.17%,Turkey,PLAY,
33,33,Netherlands,Sweden,Houston,Group Stage,89.6,71.3,18.3,2,1.5,0.5,1.32,-0.23,1.55,13,7,6,2.1955,0.90,24.51%,67.93%,7.56%,Netherlands,0.5841584158,0.2376237624,0.1782178218,9.51%,0.75%,-10.26%,9.51%,Netherlands,PLAY,
34,34,Germany,Côte d'Ivoire,Toronto,Group Stage,89.6,72.6,17,4,1,3,1.29,0.99,0.3,15,10,5,1.975,0.88,24.90%,65.95%,9.15%,Germany,0.6237623762,0.2178217822,0.1584158416,3.57%,3.12%,-6.69%,3.57%,Germany,PASS,
35,35,Ecuador,South Africa,Kansas City,Group Stage,85.1,66.1,19,0.5,0,0.5,0.18,0.87,-0.69,7,9,-2,0.8135,0.69,24.30%,52.45%,23.25%,Ecuador,0.801980198,0.1287128713,0.06930693069,-27.75%,11.43%,16.32%,16.32%,South Africa,STRONG PLAY,CHECK INPUTS
36,36,Tunisia,Japan,Monterrey,Group Stage,70.6,84.3,-13.7,0,2.5,-2.5,0.76,1.02,-0.26,8,13,-5,-1.688,0.16,25.89%,11.56%,62.55%,Japan,0.18,0.27,0.55,-6.44%,-1.11%,7.55%,7.55%,Japan,WATCH,
37,37,Spain,Saudi Arabia,Atlanta,Group Stage,100,64,36,2,0,2,2.03,0.46,1.57,13,9,4,3.3295,0.97,19.20%,78.01%,2.79%,Spain,0.8725490196,0.08823529412,0.03921568627,-9.25%,10.38%,-1.13%,10.38%,Draw,PLAY,
38,38,Belgium,IR Iran,Los Angeles,Group Stage,86.5,79,7.5,3.5,0,3.5,1.87,0.78,1.09,11,6,5,1.7565,0.85,27.75%,61.61%,10.64%,Belgium,0.69,0.19,0.12,-7.39%,8.75%,-1.36%,8.75%,Draw,PLAY,
39,39,Uruguay,Cabo Verde,Miami,Group Stage,84.8,64,20.8,1.5,-1,2.5,-0.22,0.55,-0.77,8,6,2,1.5135,0.82,23.76%,62.48%,13.76%,Uruguay,0.6732673267,0.2079207921,0.1188118812,-4.84%,2.97%,1.87%,2.97%,Draw,PASS,
40,40,New Zealand,Egypt,Vancouver,Group Stage,63.6,72.2,-8.6,0.5,-0.5,1,0,0.91,-0.91,3,8,-5,-1.0845,0.25,27.42%,18.34%,54.24%,Egypt,0.2,0.25,0.55,-1.66%,2.42%,-0.76%,2.42%,Draw,PASS,
41,41,Argentina,Austria,Dallas,Group Stage,98.5,78.6,19.9,1,1,0,0.53,0.83,-0.3,10,10,0,1.089,0.75,24.03%,56.84%,19.13%,Argentina,0.5940594059,0.2475247525,0.1584158416,-2.57%,-0.72%,3.29%,3.29%,Austria,PASS,
42,42,France,Iraq,Philadelphia,Group Stage,98.6,66.9,31.7,3,0,3,2.06,-0.2,2.26,13,9,4,3.463,0.97,20.49%,77.09%,2.42%,France,0.8529411765,0.1078431373,0.03921568627,-8.20%,9.71%,-1.51%,9.71%,Draw,PLAY,
43,43,Norway,Senegal,New York/New Jersey,Group Stage,80.1,81.7,-1.6,3,-1,4,1.34,0.72,0.62,15,12,3,0.961,0.72,29.52%,50.98%,19.50%,Norway,0.4607843137,0.2647058824,0.2745098039,4.90%,3.05%,-7.95%,4.90%,Norway,WATCH,
44,44,Jordan,Algeria,San Francisco Bay Area,Group Stage,69.5,75.4,-5.9,0,-0.5,0.5,-0.02,0.52,-0.54,12,12,0,-0.468,0.39,28.23%,27.64%,44.13%,Algeria,0.14,0.23,0.63,13.64%,5.23%,-18.87%,13.64%,Jordan,STRONG PLAY,
45,45,Portugal,Uzbekistan,Houston,Group Stage,89.4,73.1,16.3,3,1,2,1.95,0.69,1.26,10,11,-1,1.639,0.84,25.11%,62.71%,12.18%,Portugal,0.7821782178,0.1386138614,0.07920792079,-15.51%,11.25%,4.26%,11.25%,Draw,PLAY,
46,46,England,Ghana,Boston,Group Stage,93.1,62.9,30.2,2,-0.5,2.5,1.95,0.72,1.23,15,10,5,3.0175,0.95,20.94%,75.37%,3.69%,England,0.7474747475,0.1616161616,0.09090909091,0.63%,4.78%,-5.40%,4.78%,Draw,WATCH,
47,47,Panama,Croatia,Toronto,Group Stage,71.4,84.9,-13.5,2,1.5,0.5,0.73,1.78,-1.05,11,13,-2,-1.2625,0.22,25.95%,16.33%,57.72%,Croatia,0.1274509804,0.2352941176,0.637254902,3.59%,2.42%,-6.01%,3.59%,Panama,PASS,
48,48,Colombia,DR Congo,Guadalajara,Group Stage,90.7,70.8,19.9,3,0,3,0.42,0.39,0.03,9,10,-1,1.5745,0.83,24.03%,62.94%,13.03%,Colombia,0.66,0.22,0.12,-3.06%,2.03%,1.03%,2.03%,Draw,PASS,
49,49,Switzerland,Canada,Vancouver,Group Stage,83.8,74.7,9.1,1.5,1,0.5,0.7,0.58,0.12,11,9,2,0.823,0.69,27.27%,50.54%,22.19%,Switzerland,0.4848484848,0.2323232323,0.2828282828,2.05%,4.04%,-6.09%,4.04%,Draw,WATCH,
50,50,Bosnia and Herzegovina,Qatar,Seattle,Group Stage,62.9,62,0.9,0,-1.5,1.5,0.52,-0.44,0.96,7,5,2,0.775,0.68,29.73%,48.11%,22.16%,Bosnia and Herzegovina,0.6237623762,0.1881188119,0.1881188119,-14.27%,10.92%,3.35%,10.92%,Draw,PLAY,
51,51,Scotland,Brazil,Miami,Group Stage,73,92.2,-19.2,0.5,-1,1.5,-0.34,0.33,-0.67,12,7,5,-0.7615,0.32,24.24%,24.12%,51.64%,Brazil,0.7227722772,0.1782178218,0.09900990099,-48.16%,6.42%,41.74%,41.74%,Brazil,STRONG PLAY,CHECK INPUTS
52,52,Morocco,Haiti,Atlanta,Group Stage,85.3,57.1,28.2,1.5,1.5,0,1.23,0.23,1,13,10,3,2.282,0.91,21.54%,71.19%,7.27%,Morocco,0.1515151515,0.2222222222,0.6262626263,56.04%,-0.68%,-55.36%,56.04%,Morocco,STRONG PLAY,CHECK INPUTS
53,53,Czechia,Mexico,Mexico City,Group Stage,73,81,-8,0,1,-1,0.73,0.88,-0.15,6,13,-7,-1.2425,0.22,27.60%,16.22%,56.18%,Mexico,0.2277227723,0.2772277228,0.495049505,-6.55%,-0.12%,6.68%,6.68%,Mexico,WATCH,
54,54,South Africa,South Korea,Monterrey,Group Stage,66.1,76.4,-10.3,0,3,-3,0.87,1.17,-0.3,9,9,0,-1.173,0.24,26.91%,17.27%,55.82%,South Korea,0.1919191919,0.2626262626,0.5454545455,-1.92%,0.65%,1.27%,1.27%,South Korea,PASS,
