team_id,group,elo,gd_last5 (avg),gd_12mo,xg_for (p90),xg_against (p90),xg_source,xg_diff,form_last5,form_pts,conf_scalar,origin_climate,altitude_native,tactical_primary,tactical_secondary,weak_schedule_flag,is_host
Mexico,A,81,1,1.167,1.61,0.73,Gold Cup '25,0.88,WWWDW,13,0.87,21,2200,high_press_hybrid,mid_block_compact,0,YES
South Africa,A,66.1,0,0.75,1.43,0.56,CAF WC Quals (Sep 2024+),0.87,LWLWW,9,0.96,17,1753,mid_block_compact,direct_attacking,1,NO
South Korea,A,76.4,3,4,1.82,0.65,AFC WC Quals (Nov 2024+),1.17,WWDDD,9,0.87,12,9,high_press_hybrid,vertical_tiki_taka,1,NO
Czechia,A,73,0,0.429,1.89,1.16,WC Quals 2024-25,0.73,DDWLD,6,1,9,381,mid_block_compact,direct_attacking,0,NO
Canada,B,74.7,1,1.667,1.28,0.7,Gold Cup '25,0.58,DWDWD,9,0.87,-2,30,mid_block_compact,direct_attacking,0,YES
Bosnia and Herzegovina,B,62.9,0,1,1.72,1.2,WC Quals 2024-25,0.52,DDDWD,7,1,10,535,mid_block_compact,low_block_counter,0,NO
Qatar,B,62,-1.5,-1,1.05,1.49,AFC WC Quals (Nov 2024+),-0.44,LDLWD,5,0.87,28,5,low_block_counter,mid_block_compact,1,NO
Switzerland,B,83.8,1.5,2,1.46,0.76,WC Quals 2024-25,0.7,DWDWW,11,1,9,557,mid_block_compact,high_press_hybrid,0,NO
Brazil,C,92.2,-1,0.5,1.27,0.94,SA WC Quals (9/24- ),0.33,LLWWD,7,0.88,25,762,positional_play,wing_play_heavy,0,NO
Haiti,C,57.1,1.5,0.182,1.33,1.1,Gold Cup '25,0.23,WWLWD,10,0.87,27,29,low_block_counter,,0,NO
Morocco,C,85.3,1.5,1.688,1.83,0.6,CAF WC Quals (Sep 2024+),1.23,WDWWW,13,0.96,18,204,mid_block_compact,low_block_counter,1,NO
