match_id,home_team,away_team,stadium,elo_delta,home_xg_for,away_xg_for,home_xg_against,away_xg_against,home_exp_goals,away_exp_goals,total_exp_goals,home_tactical_score,away_tactical_score,match_tactical_modifier,venue_tier,home_climate_mod,away_climate_mod,situational_modifier,home_adj_xg,away_adj_xg,adjusted_total_exp_goals,match_ou_line,under_prob,over_prob,market_over,market_under,edge_over,edge_under,ou_best_edge,ou_best_value,ou_signal,ou_review_flag
19,Argentina,Algeria,Arrowhead Stadium,23.1,1.144,1.1808,0.873425,0.7323058333,0.9793223333,1.05785,2.037172333,0.07,-0.078,-0.004,moderate,0,0.05,-0.084,1.047874897,1.024104585,1.897933205,2.5,66.66%,33.34%,49.50%,50.50%,-16.17%,16.17%,16.17%,Under 2.5,REVIEW,CHECK INPUTS
20,Austria,Jordan,Levi's Stadium,9.1,1.76,1.044,0.93,1.346697701,1.59467908,0.9984,2.59307908,0.16,-0.132,0.014,mild,-0.08,0,0.014,1.701841515,0.8666112,2.604411053,2.5,52.02%,47.98%,58.42%,41.58%,-10.43%,10.43%,10.43%,Under 2.5,STRONG PLAY,
21,Portugal,DR Congo,NRG Stadium,18.6,2.84,1.2,0.89,0.88537,2.058148,1.076,3.134148,0.062,0.002,0.032,extreme,0,0.05,-0.168,2.185753176,1.1320596,2.76042023,2.5,39.38%,60.62%,57.43%,42.57%,3.19%,-3.19%,3.19%,Over 2.5,WATCH,
22,England,Croatia,AT&T Stadium,8.2,2.38,2.56,0.43,0.78,1.74,1.708,3.448,0.132,-0.07,0.031,mild,0,0,0.031,1.96968,1.58844,3.66842172,2.5,33.06%,66.94%,44.12%,55.88%,22.83%,-22.83%,22.83%,Over 2.5,REVIEW,CHECK INPUTS
23,Ghana,Panama,BMO Field,8.5,1.344,1.5573,0.6978216667,1.173091034,1.275636414,1.213508667,2.48914508,0.12,-0.132,-0.006,mild,-0.1,-0.1,-0.006,1.285841505,0.9479929704,2.220431469,2.5,54.66%,45.34%,42.31%,57.69%,3.03%,-3.03%,3.03%,Over 2.5,WATCH,
24,Uzbekistan,Colombia,Estadio Azteca,17.6,1.5486,1.364,1.209060575,1.269760455,1.437064182,1.30202423,2.739088412,0.002,0.132,0.067,altitude,0,0,-0.083,1.43993831,1.473891428,2.67198187,2.5,48.41%,51.59%,48.54%,51.46%,3.05%,-3.05%,3.05%,Over 2.5,WATCH,
25,Czechia,South Africa,Mercedes-Benz Stadium,6.9,1.89,1.3728,1.16,0.5754233333,1.364169333,1.28768,2.651849333,0.002,0.002,0.002,high,-0.08,0,-0.148,1.257545858,1.29025536,2.170726638,2.5,50.55%,49.45%,40.20%,59.80%,9.25%,-9.25%,9.25%,Over 2.5,PLAY,
26,Switzerland,Bosnia and Herzegovina,SoFi Stadium,20.9,1.46,1.72,0.76,1.2,1.356,1.336,2.692,0.01,-0.078,-0.034,mild,-0.08,0,-0.034,1.2599952,1.231792,2.407066435,2.5,49.56%,50.44%,45.54%,54.46%,4.90%,-4.90%,4.90%,Over 2.5,WATCH,
27,Canada,Qatar,BC Place,12.7,1.1136,0.9135,0.7781344828,1.62803908,1.319375632,0.8593537931,2.178729425,0.002,-0.132,-0.065,mild,-0.08,-0.1,-0.065,1.216253233,0.6713271832,1.764887689,2.5,62.84%,37.16%,48.57%,51.43%,-11.41%,11.41%,11.41%,Under 2.5,STRONG PLAY,
28,Mexico,South Korea,Estadio Akron,4.6,1.4007,1.5834,0.8183551724,0.7242045977,1.130101839,1.277382069,2.407483908,0.088,0.132,0.11,high,0.05,0,-0.04,1.291028341,1.445996502,2.627543849,2.5,56.78%,43.22%,40.38%,59.62%,2.84%,-2.84%,2.84%,Over 2.5,PASS,
