match_id,match_number,home_team,away_team,city,stage,home_team_elo,away_team_elo,elo_diff,home_gd_last5,away_gd_last5,gd_last5_diff,home_xg_diff,away_xg_diff,xg_diff_diff,home_form_pts,away_form_pts,form_diff,home_climate,away_climate,venue_tier,home_alt_origin,away_alt_origin,home_f8_pen,away_f8_pen,f8_score,home_tactic_primary,away_tactic_primary,f10_raw_score,home_tactic_secondary,away_tactic_secondary,f10_score,home_strength,market_home,market_draw,market_away,edge_home,edge_draw,edge_away,best_edge,best_value,signal,review_flag,raw_score,home_win_prob,draw_prob,away_win_prob,pick
13,13,Spain,Cabo Verde,Atlanta,Group Stage,100,64,36,2,-1,3,2.03,0.55,1.48,13,6,7,667.00,10.00,high,positional_play,low_block_counter,0.00,-3.00,-3.00,vertical_tiki_taka,direct_attacking,0.00,NO,NO,0.00,0.67,0.8921568627,0.06862745098,0.03921568627,-35.44%,12.34%,23.10%,23.10%,Cabo Verde,STRONG PLAY,CHECK INPUTS,0.69,53.77%,19.20%,27.03%,Spain
14,14,Belgium,Egypt,Seattle,Group Stage,86.5,72.2,14.3,3.5,-0.5,4,1.87,0.91,0.96,11,8,3,57.00,23.00,mild,direct_attacking,low_block_counter,0.00,0.00,0.00,high_press_hybrid,mid_block_compact,1.00,NO,NO,0.75,0.94,0.5784313725,0.2450980392,0.1764705882,12.12%,1.20%,-13.32%,12.12%,Belgium,STRONG PLAY,,2.78,69.97%,25.71%,4.32%,Belgium
15,15,Saudi Arabia,Uruguay,Miami,Group Stage,64,84.8,-20.8,0,1.5,-1.5,0.46,-0.22,0.68,9,8,1,620.00,43.00,extreme,low_block_counter,direct_attacking,-2.00,-2.00,0.00,mid_block_compact,mid_block_compact,0.00,NO,NO,0.00,0.24,0.1359223301,0.213592233,0.6504854369,4.67%,2.40%,-7.07%,4.67%,Saudi Arabia,WATCH,,-1.16,18.27%,23.76%,57.97%,Uruguay
16,16,IR Iran,New Zealand,Los Angeles,Group Stage,79,63.6,15.4,0,0.5,-0.5,0.78,0,0.78,6,3,3,"1,270.00",3.00,mild,low_block_counter,mid_block_compact,0.00,0.00,0.00,mid_block_compact,direct_attacking,2.00,NO,NO,1.50,0.95,0.5050505051,0.2828282828,0.2121212121,20.08%,-2.90%,-17.18%,20.08%,IR Iran,STRONG PLAY,CHECK INPUTS,2.86,70.59%,25.38%,4.03%,IR Iran
17,17,France,Senegal,New York/New Jersey,Group Stage,98.6,81.7,16.9,3,-1,4,2.06,0.72,1.34,13,12,1,34.00,10.00,moderate,high_press_hybrid,direct_attacking,0.00,0.00,0.00,positional_play,mid_block_compact,1.00,NO,NO,0.75,0.95,0.6732673267,0.2079207921,0.1188118812,3.88%,4.14%,-8.01%,4.14%,Draw,WATCH,,2.91,71.20%,24.93%,3.87%,France
18,18,Iraq,Norway,Boston,Group Stage,66.9,80.1,-13.2,0,3,-3,-0.2,1.34,-1.54,9,15,-6,34.00,26.00,moderate,mid_block_compact,direct_attacking,0.00,0.00,0.00,mid_block_compact,high_press_hybrid,-1.00,NO,NO,-0.75,0.05,0.06862745098,0.137254902,0.7941176471,-3.39%,12.31%,-8.92%,12.31%,Draw,STRONG PLAY,,-3.01,3.47%,26.04%,70.49%,Norway
19,19,Argentina,Algeria,Kansas City,Group Stage,98.5,75.4,23.1,1,-0.5,1.5,0.53,0.52,0.01,10,12,-2,25.00,727.00,moderate,positional_play,mid_block_compact,0.00,0.00,0.00,high_press_hybrid,low_block_counter,-2.00,NO,NO,-1.50,0.49,0.702970297,0.2079207921,0.08910891089,-32.71%,2.28%,30.43%,30.43%,Algeria,STRONG PLAY,CHECK INPUTS,-0.05,37.59%,23.07%,39.34%,Algeria
20,20,Austria,Jordan,San Francisco Bay Area,Group Stage,78.6,69.5,9.1,1,0,1,0.83,-0.02,0.85,10,12,-2,157.00,777.00,mild,high_press_hybrid,low_block_counter,0.00,0.00,0.00,gegenpressing,mid_block_compact,0.00,NO,NO,0.00,0.70,0.7254901961,0.1666666667,0.1078431373,-21.85%,10.60%,11.25%,11.25%,Jordan,PLAY,,0.83,50.70%,27.27%,22.03%,Austria
21,21,Portugal,DR Congo,Houston,Group Stage,89.4,70.8,18.6,3,0,3,1.95,0.39,1.56,10,10,0,9.00,315.00,extreme,positional_play,mid_block_compact,-6.00,-2.00,4.00,direct_attacking,direct_attacking,0.00,NO,NO,0.00,1.00,0.78,0.16,0.06,-2.59%,8.42%,-5.83%,8.42%,Draw,PLAY,,6.11,75.41%,24.42%,0.17%,Portugal
22,22,England,Croatia,Dallas,Group Stage,93.1,84.9,8.2,2,1.5,0.5,1.95,1.78,0.17,15,13,2,86.00,10.00,mild,high_press_hybrid,mid_block_compact,0.00,0.00,0.00,direct_attacking,possession_passive,0.00,NO,NO,0.00,0.69,0.5544554455,0.2475247525,0.198019802,-5.66%,2.79%,2.87%,2.87%,Croatia,PASS,,0.79,49.79%,27.54%,22.67%,England
23,23,Ghana,Panama,Toronto,Group Stage,62.9,71.4,-8.5,-0.5,2,-2.5,0.72,0.73,-0.01,10,11,-1,61.00,6.00,mild,direct_attacking,low_block_counter,0.00,0.00,0.00,high_press_hybrid,mid_block_compact,1.00,NO,NO,0.75,0.45,0.4607843137,0.2745098039,0.2647058824,-13.75%,0.00%,13.75%,13.75%,Panama,STRONG PLAY,,-0.22,32.33%,27.45%,40.22%,Panama
24,24,Uzbekistan,Colombia,Mexico City,Group Stage,73.1,90.7,-17.6,1,3,-2,0.69,0.42,0.27,11,9,2,457.00,14.00,altitude,mid_block_compact,high_press_hybrid,0.00,0.00,0.00,direct_attacking,direct_attacking,0.00,NO,NO,0.00,0.25,0.1089108911,0.198019802,0.6930693069,7.89%,4.92%,-12.81%,7.89%,Uzbekistan,WATCH,,-1.10,18.78%,24.72%,56.50%,Colombia
25,25,Czechia,South Africa,Atlanta,Group Stage,73,66.1,6.9,0,0,0,0.73,0.87,-0.14,6,9,-3,381.00,"1,753.00",high,mid_block_compact,mid_block_compact,0.00,0.00,0.00,direct_attacking,direct_attacking,0.00,NO,NO,0.00,0.53,0.4901960784,0.2843137255,0.2254901961,-10.74%,-0.50%,11.24%,11.24%,South Africa,PLAY,,0.13,38.28%,27.93%,33.79%,Czechia
26,26,Switzerland,Bosnia and Herzegovina,Los Angeles,Group Stage,83.8,62.9,20.9,1.5,0,1.5,0.7,0.52,0.18,11,7,4,557.00,535.00,mild,mid_block_compact,mid_block_compact,0.00,0.00,0.00,high_press_hybrid,low_block_counter,-2.00,NO,NO,-1.50,0.59,0.59,0.24,0.17,-14.04%,-0.27%,14.31%,14.31%,Bosnia and Herzegovina,STRONG PLAY,,0.36,44.96%,23.73%,31.31%,Switzerland
27,27,Canada,Qatar,Vancouver,Group Stage,74.7,62,12.7,1,-1.5,2.5,0.58,-0.44,1.02,9,5,4,30.00,5.00,mild,mid_block_compact,low_block_counter,0.00,0.00,0.00,direct_attacking,mid_block_compact,-2.00,YES,NO,-1.50,0.58,0.7352941176,0.1764705882,0.08823529412,-30.88%,8.54%,22.33%,22.33%,Qatar,STRONG PLAY,CHECK INPUTS,0.31,42.65%,26.19%,31.16%,Canada
28,28,Mexico,South Korea,Guadalajara,Group Stage,81,76.4,4.6,1,3,-2,0.88,1.17,-0.29,13,9,4,"2,200.00",9.00,high,high_press_hybrid,high_press_hybrid,0.00,-3.00,-3.00,mid_block_compact,vertical_tiki_taka,0.00,YES,NO,0.00,0.06,0.5339805825,0.2621359223,0.2038834951,-49.33%,2.41%,46.92%,46.92%,South Korea,STRONG PLAY,CHECK INPUTS,-2.81,4.07%,28.62%,67.31%,South Korea
29,29,USA,Australia,Seattle,Group Stage,78.1,78.2,-0.1,0,2.5,-2.5,0.46,-0.18,0.64,10,15,-5,5.00,9.00,mild,high_press_hybrid,high_press_hybrid,0.00,0.00,0.00,direct_attacking,mid_block_compact,-2.00,YES,NO,-1.50,0.11,0.5544554455,0.2376237624,0.2079207921,-47.51%,6.21%,41.30%,41.30%,Australia,STRONG PLAY,CHECK INPUTS,-2.06,7.94%,29.97%,62.09%,Australia
30,30,Scotland,Morocco,Boston,Group Stage,73,85.3,-12.3,0.5,1.5,-1,-0.34,1.23,-1.57,12,13,-1,40.00,204.00,moderate,high_press_hybrid,mid_block_compact,0.00,0.00,0.00,direct_attacking,low_block_counter,-2.00,NO,NO,-1.50,0.05,0.2277227723,0.2871287129,0.4851485149,-19.34%,-2.40%,21.74%,21.74%,Morocco,STRONG PLAY,CHECK INPUTS,-3.02,3.44%,26.31%,70.25%,Morocco
