match_id,match_number,home_team,away_team,city,stage,home_team_elo,away_team_elo,elo_diff,home_gd_last5,away_gd_last5,gd_last5_diff,home_xg_diff,away_xg_diff,xg_diff_diff,home_form_pts,away_form_pts,form_diff,home_climate,away_climate,venue_tier,home_alt_origin,away_alt_origin,home_f8_pen,away_f8_pen,f8_score,home_tactic_primary,away_tactic_primary,f10_raw_score,home_tactic_secondary,away_tactic_secondary,f10_score,home_strength,market_home,market_draw,market_away,edge_home,edge_draw,edge_away,best_edge,best_value,signal,review_flag,raw_score,home_win_prob,draw_prob,away_win_prob,pick
51,51,Scotland,Brazil,Miami,Group Stage,73,92.2,-19.2,0.5,-1,1.5,-0.34,0.33,-0.67,12,7,5,40.00,762.00,extreme,high_press_hybrid,positional_play,-2.00,-2.00,0.00,direct_attacking,wing_play_heavy,0.00,NO,NO,0.00,0.32,0.7227722772,0.1782178218,0.09900990099,-48.16%,6.42%,41.74%,41.74%,Brazil,STRONG PLAY,CHECK INPUTS,-0.76,24.12%,24.24%,51.64%,Brazil
52,52,Morocco,Haiti,Atlanta,Group Stage,85.3,57.1,28.2,1.5,1.5,0,1.23,0.23,1,13,10,3,204.00,29.00,high,mid_block_compact,low_block_counter,0.00,0.00,0.00,low_block_counter,,0.00,NO,NO,0.00,0.91,0.1515151515,0.2222222222,0.6262626263,56.04%,-0.68%,-55.36%,56.04%,Morocco,STRONG PLAY,CHECK INPUTS,2.28,71.19%,21.54%,7.27%,Morocco
53,53,Czechia,Mexico,Mexico City,Group Stage,73,81,-8,0,1,-1,0.73,0.88,-0.15,6,13,-7,381.00,"2,200.00",altitude,mid_block_compact,high_press_hybrid,0.00,0.00,0.00,direct_attacking,mid_block_compact,-2.00,NO,YES,-1.50,0.06,0.2277227723,0.2772277228,0.495049505,-18.39%,-0.12%,18.51%,18.51%,Mexico,STRONG PLAY,CHECK INPUTS,-2.74,4.38%,27.60%,68.02%,Mexico
54,54,South Africa,South Korea,Monterrey,Group Stage,66.1,76.4,-10.3,0,3,-3,0.87,1.17,-0.3,9,9,0,"1,753.00",9.00,extreme,mid_block_compact,high_press_hybrid,-2.00,-6.00,-4.00,direct_attacking,vertical_tiki_taka,0.00,NO,NO,0.00,0.01,0.1919191919,0.2626262626,0.5454545455,-18.78%,0.65%,18.13%,18.13%,South Korea,STRONG PLAY,CHECK INPUTS,-5.17,0.41%,26.91%,72.68%,South Korea
55,55,Curaçao,Côte d'Ivoire,Philadelphia,Group Stage,49.5,72.6,-23.1,-3,1,-4,0.37,0.99,-0.62,5,10,-5,2.00,117.00,moderate,low_block_counter,direct_attacking,0.00,0.00,0.00,mid_block_compact,mid_block_compact,0.00,NO,NO,0.00,0.07,0.198019802,0.2475247525,0.5544554455,-14.50%,-1.68%,16.18%,16.18%,Côte d'Ivoire,STRONG PLAY,CHECK INPUTS,-2.60,5.30%,23.07%,71.63%,Côte d'Ivoire
56,56,Ecuador,Germany,New York/New Jersey,Group Stage,85.1,89.6,-4.5,0.5,4,-3.5,0.18,1.29,-1.11,7,15,-8,"2,782.00",116.00,moderate,high_press_hybrid,gegenpressing,0.00,0.00,0.00,mid_block_compact,positional_play,-1.00,NO,NO,-0.75,0.07,0.06862745098,0.1470588235,0.7843137255,-1.81%,13.94%,-12.14%,13.94%,Draw,STRONG PLAY,,-2.57,5.06%,28.65%,66.29%,Germany
57,57,Japan,Sweden,Dallas,Group Stage,84.3,71.3,13,2.5,1.5,1,1.02,-0.23,1.25,13,7,6,11.00,14.00,mild,gegenpressing,direct_attacking,0.00,0.00,0.00,mid_block_compact,mid_block_compact,0.00,NO,NO,0.00,0.86,0.1386138614,0.2079207921,0.6534653465,49.98%,5.31%,-55.28%,49.98%,Japan,STRONG PLAY,CHECK INPUTS,1.85,63.84%,26.10%,10.06%,Japan
58,58,Tunisia,Netherlands,Kansas City,Group Stage,70.6,89.6,-19,0,2,-2,0.76,1.32,-0.56,8,13,-5,67.00,13.00,moderate,mid_block_compact,positional_play,0.00,0.00,0.00,low_block_counter,high_press_hybrid,2.00,NO,NO,1.50,0.37,0.4653465347,0.2772277228,0.2574257426,-18.59%,-3.42%,22.02%,22.02%,Netherlands,STRONG PLAY,CHECK INPUTS,-0.54,27.94%,24.30%,47.76%,Netherlands
59,59,Turkey,USA,Los Angeles,Group Stage,81.8,78.1,3.7,1,0,1,0.11,0.46,-0.35,13,10,3,70.00,5.00,mild,mid_block_compact,high_press_hybrid,0.00,0.00,0.00,direct_attacking,direct_attacking,0.00,NO,YES,0.00,0.62,0.44,0.3,0.26,0.09%,-1.11%,1.02%,1.02%,USA,PASS,,0.49,44.09%,28.89%,27.02%,Turkey
60,60,Paraguay,Australia,San Francisco Bay Area,Group Stage,75.3,78.2,-2.9,0.5,2.5,-2,-0.02,-0.18,0.16,8,15,-7,124.00,9.00,mild,mid_block_compact,high_press_hybrid,0.00,0.00,0.00,direct_attacking,mid_block_compact,-2.00,NO,NO,-1.50,0.08,0.3465346535,0.2772277228,0.3762376238,-29.17%,1.41%,27.76%,27.76%,Australia,STRONG PLAY,CHECK INPUTS,-2.48,5.49%,29.13%,65.38%,Australia
61,61,Norway,France,Boston,Group Stage,80.1,98.6,-18.5,3,3,0,1.34,2.06,-0.72,15,13,2,26.00,34.00,moderate,direct_attacking,high_press_hybrid,0.00,0.00,0.00,high_press_hybrid,positional_play,0.00,NO,NO,0.00,0.23,0.2156862745,0.2549019608,0.5294117647,-4.11%,-1.04%,5.15%,5.15%,France,WATCH,,-1.20,17.46%,24.45%,58.09%,France
62,62,Senegal,Iraq,Toronto,Group Stage,81.7,66.9,14.8,-1,0,-1,0.72,-0.2,0.92,12,9,3,10.00,34.00,mild,direct_attacking,mid_block_compact,0.00,0.00,0.00,mid_block_compact,mid_block_compact,0.00,NO,NO,0.00,0.79,0.6666666667,0.2058823529,0.1274509804,-8.17%,4.97%,3.20%,4.97%,Draw,WATCH,,1.30,58.50%,25.56%,15.94%,Senegal
63,63,Cabo Verde,Saudi Arabia,Houston,Group Stage,64,64,0,-1,0,-1,0.55,0.46,0.09,6,9,-3,10.00,620.00,extreme,low_block_counter,low_block_counter,-6.00,-2.00,4.00,direct_attacking,mid_block_compact,-2.00,NO,NO,-1.50,0.89,0.1683168317,0.2376237624,0.5940594059,45.81%,6.24%,-52.05%,45.81%,Cabo Verde,STRONG PLAY,CHECK INPUTS,2.14,62.64%,30.00%,7.36%,Cabo Verde
64,64,Uruguay,Spain,Guadalajara,Group Stage,84.8,100,-15.2,1.5,2,-0.5,-0.22,2.03,-2.25,8,13,-5,43.00,667.00,high,direct_attacking,positional_play,0.00,0.00,0.00,mid_block_compact,vertical_tiki_taka,0.00,NO,NO,0.00,0.10,0.36,0.29,0.35,-28.39%,-3.56%,31.95%,31.95%,Spain,STRONG PLAY,CHECK INPUTS,-2.17,7.61%,25.44%,66.95%,Spain
65,65,Egypt,IR Iran,Seattle,Group Stage,72.2,79,-6.8,-0.5,0,-0.5,0.91,0.78,0.13,8,6,2,23.00,"1,270.00",mild,low_block_counter,low_block_counter,0.00,0.00,0.00,mid_block_compact,mid_block_compact,0.00,NO,NO,0.00,0.43,0.08910891089,0.1584158416,0.7524752475,22.14%,12.12%,-34.26%,22.14%,Egypt,STRONG PLAY,CHECK INPUTS,-0.28,31.05%,27.96%,40.99%,IR Iran
66,66,New Zealand,Belgium,Vancouver,Group Stage,63.6,86.5,-22.9,0.5,3.5,-3,0,1.87,-1.87,3,11,-8,3.00,57.00,mild,mid_block_compact,direct_attacking,0.00,0.00,0.00,direct_attacking,high_press_hybrid,1.00,NO,NO,0.75,0.09,0.42,0.32,0.26,-35.42%,-8.87%,44.29%,44.29%,Belgium,STRONG PLAY,CHECK INPUTS,-2.37,6.58%,23.13%,70.29%,Belgium
67,67,Panama,England,New York/New Jersey,Group Stage,71.4,93.1,-21.7,2,2,0,0.73,1.95,-1.22,11,15,-4,6.00,86.00,moderate,low_block_counter,high_press_hybrid,0.00,0.00,0.00,mid_block_compact,direct_attacking,2.00,NO,NO,1.50,0.37,0.1,0.14,0.76,18.01%,9.49%,-27.50%,18.01%,Panama,STRONG PLAY,CHECK INPUTS,-0.55,28.01%,23.49%,48.50%,England
68,68,Croatia,Ghana,Philadelphia,Group Stage,84.9,62.9,22,1.5,-0.5,2,1.78,0.72,1.06,13,10,3,10.00,61.00,moderate,mid_block_compact,direct_attacking,0.00,0.00,0.00,possession_passive,high_press_hybrid,0.00,NO,NO,0.00,0.90,0.5841584158,0.2475247525,0.1683168317,10.75%,-1.35%,-9.40%,10.75%,Croatia,PLAY,,2.23,69.17%,23.40%,7.43%,Croatia
69,69,Colombia,Portugal,Miami,Group Stage,90.7,89.4,1.3,3,3,0,0.42,1.95,-1.53,9,10,-1,14.00,9.00,extreme,high_press_hybrid,positional_play,-6.00,-6.00,0.00,direct_attacking,direct_attacking,0.00,NO,NO,0.00,0.37,0.27,0.26,0.47,-1.04%,3.61%,-2.57%,3.61%,Draw,PASS,,-0.54,25.96%,29.61%,44.43%,Portugal
70,70,DR Congo,Uzbekistan,Atlanta,Group Stage,70.8,73.1,-2.3,0,1,-1,0.39,0.69,-0.3,10,11,-1,315.00,457.00,high,mid_block_compact,mid_block_compact,0.00,0.00,0.00,direct_attacking,direct_attacking,0.00,NO,NO,0.00,0.38,0.4158415842,0.2871287129,0.297029703,-14.45%,0.60%,13.85%,13.85%,Uzbekistan,STRONG PLAY,,-0.47,27.14%,29.31%,43.55%,Uzbekistan
71,71,Algeria,Austria,Kansas City,Group Stage,75.4,78.6,-3.2,-0.5,1,-1.5,0.52,0.83,-0.31,12,10,2,727.00,157.00,moderate,mid_block_compact,high_press_hybrid,0.00,0.00,0.00,low_block_counter,gegenpressing,2.00,NO,NO,1.50,0.76,0.06930693069,0.1188118812,0.8118811881,46.76%,17.16%,-63.92%,46.76%,Algeria,STRONG PLAY,CHECK INPUTS,1.13,53.69%,29.04%,17.27%,Algeria
72,72,Jordan,Argentina,Dallas,Group Stage,69.5,98.5,-29,0,1,-1,-0.02,0.53,-0.55,12,10,2,777.00,25.00,mild,low_block_counter,positional_play,0.00,0.00,0.00,mid_block_compact,high_press_hybrid,-1.00,NO,NO,-0.75,0.06,0.2843137255,0.3039215686,0.4117647059,-23.35%,-9.09%,32.44%,32.44%,Argentina,STRONG PLAY,CHECK INPUTS,-2.67,5.09%,21.30%,73.61%,Argentina
73,73,#N/A,#N/A,Los Angeles,Round of 32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,mild,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
74,74,#N/A,#N/A,Houston,Round of 32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,extreme,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
75,75,#N/A,#N/A,Boston,Round of 32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,moderate,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
76,76,#N/A,#N/A,Monterrey,Round of 32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,extreme,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
77,77,#N/A,#N/A,Dallas,Round of 32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,mild,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
78,78,#N/A,#N/A,New York/New Jersey,Round of 32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,moderate,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
79,79,#N/A,#N/A,Mexico City,Round of 32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,altitude,#N/A,#N/A,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
80,80,#N/A,#N/A,Atlanta,Round of 32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,high,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
81,81,#N/A,#N/A,Seattle,Round of 32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,mild,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
82,82,#N/A,#N/A,San Francisco Bay Area,Round of 32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,mild,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
83,83,#N/A,#N/A,Los Angeles,Round of 32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,mild,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
84,84,#N/A,#N/A,Toronto,Round of 32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,mild,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
85,85,#N/A,#N/A,Vancouver,Round of 32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,mild,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
86,86,#N/A,#N/A,Dallas,Round of 32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,mild,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
87,87,#N/A,#N/A,Miami,Round of 32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,extreme,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
88,88,#N/A,#N/A,Kansas City,Round of 32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,moderate,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
89,89,#N/A,#N/A,Houston,Round of 16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,extreme,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
90,90,#N/A,#N/A,Philadelphia,Round of 16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,moderate,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
91,91,#N/A,#N/A,New York/New Jersey,Round of 16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,moderate,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
92,92,#N/A,#N/A,Mexico City,Round of 16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,altitude,#N/A,#N/A,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
93,93,#N/A,#N/A,Dallas,Round of 16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,mild,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
94,94,#N/A,#N/A,Seattle,Round of 16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,mild,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
95,95,#N/A,#N/A,Atlanta,Round of 16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,high,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
96,96,#N/A,#N/A,Vancouver,Round of 16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,mild,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
97,97,#N/A,#N/A,Boston,Quarterfinals,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,moderate,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
98,98,#N/A,#N/A,Los Angeles,Quarterfinals,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,mild,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
99,99,#N/A,#N/A,Miami,Quarterfinals,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,extreme,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
100,100,#N/A,#N/A,Kansas City,Quarterfinals,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,moderate,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
101,101,#N/A,#N/A,Dallas,Semifinals,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,mild,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
102,102,#N/A,#N/A,Atlanta,Semifinals,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,high,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
103,103,#N/A,#N/A,Miami,Third Place Playoff,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,extreme,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
104,104,#N/A,#N/A,New York/New Jersey,Final,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,moderate,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,0,#N/A,PASS,,#N/A,#N/A,#N/A,#N/A,#N/A
